Input-I-1,Input-I-2,Input-I-3,Input-II-1,Input-II-2,Input-II-3,Input-III-1,Input-III-2,Input-III-3,Input-IV-1,Input-IV-2,Input-IV-3,Input-V-1,Input-V-2,Input-V-3,Input-VI-1,Input-VI-2,Input-VI-3,Output-1,Output-2,Output-3,Output-4
C,S,A,S,A,X,X,S,S,Y,S,A,S,S,Y,C,Y,Y,S,A,Y,A
X,X,C,S,X,C,X,S,S,X,A,A,X,Y,C,Y,Y,C,Y,X,C,C
